7687;54|85|52|245|8035
1029562;8651|59|9625|39308|9557
2168899;9625|39308|7826|9557|15338
2230712;5504|1649|1514|3137|21773
2236709;9625|39308|13719|171|278
2271782;172|8651|171|59|7403
2291567;4546|8651|4227|13036|97631
2318327;172|10523|3915|32739|20449
2399681;172|8651|1514|59|7826
2423062;32739|3915|20449|13719|67836
2445992;8651|59|32739|105|40620
2465033;54|171|7046|10523|8039
2469058;10523|13719|9539|13397|71
2509909;8651|59|5307|15830|6779
2549627;4134|85|59|38|7403
2559184;171|7046|10523|8651|8039
2560844;8651|13036|7337|3312|8988
2615703;171|7046|10523|172|361
2707938;172|13194|7395|59|7403
2764146;289|7|3457|503|36790
2790162;9539|7826|15338|5107|3818
2873889;5107|54089|12561|7396|16987
2883653;22427|40620|7826|54089|13253
2906604;1915|379|4134|1092|6234
2914781;171|7046|301|10523|7403
2917828;54089|29513|89467|2878|16619
2948640;8651|4134|59|23337|14088
2949370;5107|503|9762|12428|109072
3002379;5107|59|38|52|12428
3116219;6234|4134|89833|379|1649
3239973;172|4134|32732|1421|13719
3304912;2868|14940|4038|7334|4264
3423731;89467|678|14762|15892|349
3426736;301|7403|13194|59|1092
3475627;4546|4171|7046|171|10523
3478587;89833|10|5738|259|4114
3479805;3312|24888|1702|3770|6169
3496153;301|3415|114|470|13194
3496867;8651|5504|59|13036|7337
3603292;8651|59|7403|171|13397
3631969;8651|97631|59|3457|5307
3680223;8651|3312|171|9539|7826
3768204;172|32739|3915|20449|5569
3860200;18334|473|3085|5046|54089
3868845;8651|1514|40620|22427|171
3883834;4546|4227|4364|368|71
3973347;3312|22427|40620|3319|13253
3996495;3312|22427|40620|7826|7
4044188;4546|171|10523|7046|4227
4058623;238|1681|391|52721|52
4228395;8651|171|3457|59|9539
4286071;4134|13719|9539|67836|5166
4331750;8651|59|7403|7395|10523
4378506;1514|171|278|10523|7826
4397563;4546|5504|4227|4364|3137
4438599;3916|54|5738|6205|172
4447744;17733|11159|3457|54025|1871
4485208;172|28818|35256|89467|8988
4526305;22427|40620|1702|3770|13253
4737341;13719|171|278|67836|7826
4738898;23718|3312|368|59729|3319
4780586;8614|54|417|3457|18334
4787424;4546|4227|4364|20610|14816
4806529;172|97631|171|3312|7403
4811209;54|4171|8651|1514|8988
4848122;74704|368|1602|3727|16574
4887880;8651|5504|105|32739|59
4938859;8651|1514|59|5107|5307
4979489;172|105|13719|9539|18036
5077328;8651|172|32732|105|13719
5097178;85|5504|36119|3137|18334
5103378;85|32732|172|36119|10523
5105750;4546|8651|59|38|4134
5142790;85|36119|71|13397|13719
5166712;8651|59|97631|9539|10523
5258833;8651|1514|4114|18334|23337
5265341;8651|85|97631|36119|59
5277976;54|7403|4134|59|7600
5320098;13719|1702|67836|3770|503
5354281;9762|4311|4038|14008|5384
5408101;13036|7337|8988|13351|15110
5420878;4546|4227|6234|6122|38
5432528;8614|3312|3457|16036|417
5460898;1514|5569|59|64334|3904
5485650;3312|3319|7998|29513|51057
5516497;8651|85|59|36119|6122
5517685;29513|9762|29264|12428|109072
5534206;3916|4114|3075|186|913
5613455;54089|62|16053|85|16460
5637731;3457|1681|391|238|36790
5725577;8651|1514|59|5569|5307
5751246;8651|1514|59|7826|5107
5781009;3312|1702|3770|54089|3319
5839868;8651|172|32732|59|13194
5856926;1514|3904|12085|7403|12986
5897962;4546|4134|4227|4364|18334
5899319;1514|13719|171|278|67836
5910721;8651|59|5569|5307|15830
5923588;171|10523|7046|172|8039
5963805;379|1671|368|4117|3727
6050492;5504|3312|4114|3137|18334
6110270;171|7403|278|15338|11056
6261389;8651|171|59|7826|7403
6304123;172|8651|71|59|76896
6325471;8651|59|32739|3915|13719
6390606;5107|54089|15000|109072|12428
6446517;4546|54|7046|171|283
6452020;54|97631|3312|22427|40620
6462275;4546|4227|283|97631|3103
6502736;5107|54089|89467|10330|10179
6546055;8651|8614|4134|54|85
6606354;8651|1514|85|13036|7337
6611089;8651|4134|259|59|2588
6638266;74704|16574|368|4134|10
6731541;8651|59|55|5504|54
6747065;8614|6234|14783|4672|259
6917264;5504|3312|3137|9539|1702
6937126;6234|14783|18334|13036|7337
6946347;8651|85|171|36119|9539
6964986;8651|59|171|9539|7826
6992675;4546|5504|4227|4364|3137
6997702;8614|10|54|5738|869
7014063;3075|18334|9539|6157|6183
7105867;5107|29513|89467|15000|29264
7163356;8651|59|15338|54089|5307
7210939;172|8651|32739|3915|20449
7213842;85|36119|171|71|76896
7277276;8614|97631|22427|40620|13719
7299766;5738|18334|21155|473|3085
7310641;4134|85|36119|1702|10523
7320444;85|1514|36119|52|160380
